"import_year;""partner_code"";""partner_name"";""product_code"";""product_name"";""import_value""",,,,,,,,,,
"2008;372;""Ireland"";""02"";""Meat and edible meat offal"";347",,,,,,,,,,
"2008;388;""Jamaica"";""02"";""Meat and edible meat offal"";19914",,,,,,,,,,
"2008;484;""Mexico"";""02"";""Meat and edible meat offal"";58507",,,,,,,,,,
"2008;558;""Nicaragua"";""02"";""Meat and edible meat offal"";527797",,,,,,,,,,
"2009;208;""Denmark"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";159694",,,,,,,,,
"2009;328;""Guyana"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";23103",,,,,,,,,
"2009;344;""China"," Hong Kong SAR"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";7682",,,,,,,,
"2009;360;""Indonesia"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";370235",,,,,,,,,
"2009;392;""Japan"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";10813",,,,,,,,,
"2009;484;""Mexico"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";50167",,,,,,,,,
"2009;528;""Netherlands"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";1080",,,,,,,,,
"2009;558;""Nicaragua"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";280089",,,,,,,,,
"2009;579;""Norway"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";1458790",,,,,,,,,
"2009;604;""Peru"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";990579",,,,,,,,,
"2009;608;""Philippines"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";35180",,,,,,,,,
"2009;704;""Viet Nam"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";67149",,,,,,,,,
"2009;724;""Spain"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";148615",,,,,,,,,
"2009;842;""USA"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";3548058",,,,,,,,,
"2009;858;""Uruguay"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";28302",,,,,,,,,
"2008;32;""Argentina"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";132206",,,,,,,,,
"2008;124;""Canada"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";609256",,,,,,,,,
"2008;152;""Chile"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";1732861",,,,,,,,,
"2008;156;""China"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";421475",,,,,,,,,
"2008;170;""Colombia"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";3544",,,,,,,,,
"2008;192;""Cuba"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";11490",,,,,,,,,
"2008;208;""Denmark"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";163506",,,,,,,,,
"2008;218;""Ecuador"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";6227",,,,,,,,,
"2008;320;""Guatemala"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";10621",,,,,,,,,
"2008;328;""Guyana"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";62379",,,,,,,,,
"2008;340;""Honduras"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";14329",,,,,,,,,
"2008;344;""China"," Hong Kong SAR"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";1011",,,,,,,,
"2008;360;""Indonesia"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";396864",,,,,,,,,
"2008;392;""Japan"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";10471",,,,,,,,,
"2008;410;""Rep. of Korea"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";13108",,,,,,,,,
"2008;458;""Malaysia"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";2662",,,,,,,,,
"2008;484;""Mexico"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";29069",,,,,,,,,
"2008;528;""Netherlands"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";2501",,,,,,,,,
"2008;558;""Nicaragua"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";675806",,,,,,,,,
"2008;579;""Norway"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";696447",,,,,,,,,
